,Start_node,End_node,Road_Type,Region,Distance
386,992114,993015,MAJOR ROUTE,ST,122.49172963248915
387,992115,993016,MAJOR ROUTE,ST,5.2000016670851865
388,992116,991039,MAJOR ROUTE,ST,19.96485700594056
389,992117,992118,MAJOR ROUTE,ST,19.99995930050363
390,992118,991040,MAJOR ROUTE,ST,19.999966997177854
391,992119,992120,MAJOR ROUTE,ST,569.8903314752018
392,992120,992121,MAJOR ROUTE,ST,19.999937887438282
393,992121,991041,MAJOR ROUTE,ST,19.997837028887595
394,992122,993013,MAJOR ROUTE,ST,599.9384662039876
395,992123,992124,MAJOR ROUTE,ST,19.999963813606623
396,992124,991042,MAJOR ROUTE,ST,20.000052064935137
397,992125,993017,MAJOR ROUTE,ST,1315.7590668700009
398,992126,992127,MAJOR ROUTE,ST,19.99555433659146
399,992127,991043,MAJOR ROUTE,ST,19.999947682090603
400,992128,992129,MAJOR ROUTE,ST,19.999963203687418
401,992129,991044,MAJOR ROUTE,ST,20.00002232334289
402,992130,992131,MAJOR ROUTE,ST,806.8859694123181
403,992131,992132,MAJOR ROUTE,ST,19.999845660778284
404,992132,991045,MAJOR ROUTE,ST,19.99995887624225
405,992133,992134,MAJOR ROUTE,ST,104.1419727061828
406,992134,992135,MAJOR ROUTE,ST,19.999931264660255
407,992135,991046,MAJOR ROUTE,ST,20.00003021153317
408,992136,993019,MAJOR ROUTE,ST,120.1140101391188
409,992137,992138,MAJOR ROUTE,ST,19.999984777497158
410,992138,991047,MAJOR ROUTE,ST,19.999978464968386
411,992139,993021,MAJOR ROUTE,TM,1117.646341838613
412,992140,992142,MAJOR ROUTE,TM,19.998837167876637
413,992141,992143,MAJOR ROUTE,TM,19.999881105536822
414,992142,991049,MAJOR ROUTE,TM,39.99815074398218
415,992143,991050,MAJOR ROUTE,TM,39.95289158860652
416,992144,992164,MAJOR ROUTE,TM,525.3093041123667
417,992145,992146,MAJOR ROUTE,TM,774.0112980513271
418,992146,992147,MAJOR ROUTE,TM,19.999946172905886
419,992147,991051,MAJOR ROUTE,TM,19.999948723613713
420,992148,992149,MAJOR ROUTE,TM,809.7454017271876
421,992149,992150,MAJOR ROUTE,TM,19.999784711631484
422,992150,991052,MAJOR ROUTE,TM,19.99945040388627
423,992151,992152,MAJOR ROUTE,TM,691.9870412835319
424,992152,992153,MAJOR ROUTE,TM,0.0
425,992153,991053,MAJOR ROUTE,TM,39.99740458014229
426,992154,992155,MAJOR ROUTE,TM,1408.952217880603
427,992155,992156,MAJOR ROUTE,TM,0.0
428,992156,991054,MAJOR ROUTE,TM,39.99496956226223
429,992157,992158,MAJOR ROUTE,TM,1075.1034007190224
430,992158,992159,MAJOR ROUTE,TM,0.0
431,992159,991055,MAJOR ROUTE,TM,39.99597753767211
432,992160,993022,MAJOR ROUTE,TM,564.4562911266439
433,992161,992162,MAJOR ROUTE,TM,19.99998061098883
434,992162,991056,MAJOR ROUTE,TM,39.999559901010976
435,992163,993024,MAJOR ROUTE,TM,574.0767708941802
436,992164,992165,MAJOR ROUTE,TM,19.99262419104071
437,992165,991057,MAJOR ROUTE,TM,19.967072835781643
438,992166,992167,MAJOR ROUTE,TM,792.5154848636091
439,992167,992168,MAJOR ROUTE,TM,19.986053440346332
440,992168,991058,MAJOR ROUTE,TM,19.997647988159464
441,992169,992170,MAJOR ROUTE,TM,1143.5376069096033
442,992170,992171,MAJOR ROUTE,TM,0.0
