,Node ID,Eastings,Northings,wgsLong,wgsLat
220,992057,837254.1195406197,826817.0519979764,114.186449802,22.380564267
221,991021,838517.5980747472,828032.8571578562,114.198720156,22.391542426
222,992060,838517.0734640295,828012.867498856,114.198715033,22.39136191
223,991022,838801.8698114688,827158.2588953134,114.201479318,22.383643953
224,992063,838797.0151198991,827138.8570405077,114.201432146,22.383468752
225,991023,838722.7843456715,826856.6227166597,114.2007109,22.380920136
226,992066,838716.5506379772,826837.6190094315,114.20065034,22.380748531
227,991024,838054.3346246574,826093.5233700424,114.194219244,22.374029772
228,992069,838035.0070166327,826088.3827827424,114.194031572,22.37398337
229,991025,838242.7559222952,826686.785856897,114.196049503,22.37938704
230,992072,838226.7132613296,826698.7152198348,114.195893742,22.379494787
231,991026,837659.7936251285,827198.7014642488,114.190389315,22.38401048
232,992075,837644.851473812,827211.9955273606,114.190244232,22.384130545
233,991027,839415.3355796235,826793.7356323972,114.207435607,22.3803511
234,992078,839398.8816963518,826782.3659479115,114.207275815,22.380248456
235,991028,838945.8333666697,826497.5146573298,114.202876154,22.377676867
236,992083,838926.5662053935,826492.1502844468,114.202689061,22.377628454
237,991029,838942.7615589686,826506.0542222634,114.202846341,22.377753988
238,992084,838923.3949724017,826501.0864078216,114.202658283,22.377709156
239,991030,836656.6603902401,825230.9441068396,114.180647961,22.366241106
240,992086,836659.28147911,825250.7689358015,114.180673415,22.366420135
241,991031,836206.704101352,825612.9401324708,114.176279226,22.369690781
242,992090,836192.2695341855,825599.096604351,114.176139075,22.369565766
243,991032,837360.8478972819,826311.0535542853,114.187485809,22.375994769
244,992093,837373.0467495648,826295.2047138046,114.187604247,22.375851638
245,991033,837474.4798179511,825673.9347073417,114.188588679,22.370241169
246,992098,837459.0036646295,825661.2902316973,114.188438404,22.370126993
247,991034,837199.7422694564,825298.875487281,114.185920898,22.366854353
248,992101,837184.6221559653,825285.7841860447,114.185774085,22.36673614
249,991035,836829.4388310192,825077.9263826665,114.182325449,22.364859225
250,992104,836818.4768472696,825061.2293401174,114.182219012,22.364708445
251,992105,836811.8544526836,825068.3981743734,114.182154717,22.364773186
252,991036,836598.4274928812,824923.0784138981,114.180082501,22.363460924
253,992108,836585.4249670878,824907.8818905111,114.179956256,22.363323693
254,991037,836183.6178491348,824539.7160790674,114.176055125,22.359998983
255,992111,836170.0170204751,824525.0532663334,114.175923079,22.359866569
256,991038,835900.1842708224,824326.9328140281,114.17330338,22.358077396
257,992114,835890.0467057219,824309.7639876734,114.173204961,22.35792235
258,991040,836391.9839276671,826415.0703816395,114.178078256,22.376934442
259,992119,836373.0522457054,826408.6212407649,114.17789443,22.376876204
260,991041,836062.4748546192,825884.528900411,114.174878805,22.372143363
261,992122,836055.1085393662,825865.9348852579,114.174807283,22.371975448
262,991042,835690.2531840708,825325.8250161819,114.171264874,22.367097881
263,992125,835674.5112822568,825313.4929763749,114.171112036,22.366986511
264,991044,836277.2082379479,826776.0308852177,114.176963792,22.380194111
265,992130,836262.9831642974,826790.0884596147,114.176825664,22.380321058
266,991045,835424.4010381717,826885.7948743384,114.168682823,22.381185132
267,992133,835404.9662143653,826881.0738973636,114.168494109,22.38114249
268,991046,835265.3780580228,826845.1303104945,114.167138696,22.380817825
269,992136,835246.0144431535,826840.1255472153,114.166950674,22.380772618
270,991048,823591.6093901182,836073.4027068838,114.053710453,22.464106854
271,992139,823587.3090964695,836053.8704905603,114.053668827,22.463930438
272,991049,823185.5731954547,834931.4385294709,114.049774809,22.453791382
273,992144,823175.8512180503,834913.9604530521,114.049680501,22.453633474
274,991050,823176.8555725571,834937.5019979011,114.049690065,22.453846071
275,992145,823165.6757846987,834920.9233305082,114.049581587,22.453696273
276,991051,823142.5966541748,834110.2602010258,114.049364059,22.446375463
277,992148,823149.6202434124,834091.5340376645,114.049432446,22.446206411
278,991052,823678.3260290995,833427.3258459698,114.054573945,22.440212294
279,992151,823693.8436507229,833414.7082622405,114.054724788,22.440098466
280,991053,824251.1477424651,832940.7512725778,114.060142199,22.435822428
281,992154,824264.164936279,832925.5673117917,114.060268762,22.435685401
282,991054,824679.3904400105,831538.9384720437,114.064312364,22.423166374
283,992157,824679.2074180143,831518.939309489,114.064310732,22.422985772
284,991055,824477.5608267821,830423.9415362235,114.062360216,22.413096055
285,992160,824467.8496534033,830406.4574545622,114.062266026,22.412938099
286,991056,825177.405159764,826130.7426168658,114.069187264,22.374331013
287,992163,825193.2759661088,826118.5722632967,114.06934145,22.374221211
288,991057,822969.5934159001,834398.4122008607,114.047680965,22.448976263
289,992166,822950.9646691093,834391.1871226616,114.047500048,22.448910872
290,991058,822177.0043625217,834112.839810608,114.039983544,22.446391077
291,992169,822168.4672422716,834094.7563971169,114.039900768,22.446227706
292,991059,821747.3574083233,832993.318170758,114.035819849,22.436277722
293,992172,821732.560521408,832979.8626091685,114.035676235,22.436156087
294,991060,820906.725216466,832776.824581299,114.027656,22.434315353
295,992175,820887.0663568331,832780.5027925447,114.027465,22.434348393
296,991061,819759.5231865989,833094.2346774377,114.016508896,22.437171024
297,992178,819741.3882673653,833102.6633640938,114.016332644,22.437246963
298,991062,818886.8446706934,833053.8075250816,114.008032052,22.43679731
299,992181,818867.9041563477,833047.3843703866,114.007848133,22.436739113
300,991063,818300.1591613665,832427.9648095705,114.002340015,22.431139626
301,992184,818293.6110030888,832409.0671477243,114.002276622,22.430968903
302,991064,817587.5165256411,831555.5985444952,113.995427875,22.423254157
303,992187,817571.6780501781,831543.390127331,113.995274177,22.423143737
304,991065,816688.3112045573,830696.8153647427,113.986704344,22.41548893
305,992190,816668.469624524,830694.3030547071,113.986511662,22.415466016
306,991066,815971.7849846408,830346.7926366813,113.979749488,22.412319735
307,992193,815966.4901326522,830327.5068439841,113.979698309,22.412145513
308,991067,815710.3656679951,829102.0231359731,113.977226548,22.4010758
309,992196,815706.5987380045,829082.3818633556,113.977190218,22.400898385
310,991068,815651.5824304987,828415.6288684923,113.976664545,22.394876644
311,992199,815656.6346430732,828396.2775081266,113.976713857,22.394701954
312,991069,815782.9817125052,827913.5770548321,113.977947029,22.390344461
313,992202,815788.0093595339,827894.2192975935,113.9779961,22.390169712
314,991070,816142.8484736523,827019.3178417012,113.981452911,22.382273143
315,992205,816156.0455777664,827004.2899861317,113.981581248,22.382137589
316,991071,817132.5081070466,826244.798046764,113.991072057,22.375290177
317,992208,817151.615894122,826250.7048759665,113.991257519,22.375343732
318,991072,817870.0399491154,825971.1213789303,113.99823649,22.372826805
319,992211,817879.3961457852,825953.4447960071,113.998327538,22.372667277
320,991073,818750.5469343923,825367.6548250578,114.0067925,22.367386411
321,992214,818769.6203275351,825361.639245892,114.006977754,22.367332282
322,991074,819521.6881520441,825022.2897555009,114.014283323,22.364275282
323,992217,819531.7364014899,825004.9972105548,114.014381063,22.364119219
324,991075,820021.1594046718,824374.3166871164,114.019139296,22.358428549
325,992220,820035.658672032,824360.5409386437,114.019280204,22.358304284
326,991076,820857.4986347761,824107.2881390247,114.027261583,22.356024846
327,992223,820877.4180047587,824109.082212463,114.027454952,22.356041226
